Timestamp,model,transportion_sentence,transportation_completion
Unmodified 1,unmodified,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
Unmodified 3,unmodified,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
Unmodified 0,unmodified,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
Unmodified 4,unmodified,"More than one sentence found: Located at 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
Unmodified 2,unmodified,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-21-51,gpt-3.5-turbo,"More than one sentence found: Located at 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-32-23,gpt-3.5-turbo,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-35-15,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-19-33,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-06-22-22,gpt-3.5-turbo,"More than one sentence found: Located at 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-04-56-29,gpt-3.5-turbo,"More than one sentence found: Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-44-10,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-04-58-41,gpt-3.5-turbo,"More than one sentence found: 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-20-06,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-08-45,gpt-3.5-turbo,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-03-13,gpt-3.5-turbo,"More than one sentence found: Located at 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-39-46,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-26-33,gpt-3.5-turbo,"More than one sentence found: 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-37-21,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-38-06,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-06-13-09,gpt-3.5-turbo,"More than one sentence found: 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-50-42,gpt-3.5-turbo,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-28-08,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-49-45,gpt-3.5-turbo,"More than one sentence found: 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-04-48,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-04-53-20,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-06-17-44,gpt-3.5-turbo,"More than one sentence found: Located at 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-23-53,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-04-55-43,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-04-50-25,gpt-3.5-turbo,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-08-29,gpt-3.5-turbo,"More than one sentence found: 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-09-16,gpt-3.5-turbo,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-36-52,gpt-3.5-turbo,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-18-46,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-14-52,gpt-3.5-turbo,"More than one sentence found: Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-24-41,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-06-26-59,gpt-3.5-turbo,"More than one sentence found: 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-42-46,gpt-3.5-turbo,"More than one sentence found: Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-51-26,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-35-45,gpt-3.5-turbo,"More than one sentence found: 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-45-00,gpt-3.5-turbo,"More than one sentence found: Located at 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-21-33,gpt-3.5-turbo,"More than one sentence found: Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-27-23,gpt-3.5-turbo,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-42-02,gpt-3.5-turbo,"More than one sentence found: Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-29-16,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-44-07,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-47-24,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-41-54,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-06-33-51,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-28-55,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-06-26-11,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-06-41-20,gpt-3.5-turbo,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-04-57-53,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-04-51-56,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-52-13,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-07-06,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-24-18,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-14-06,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-04-54-08,gpt-3.5-turbo,"More than one sentence found: 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-16-54,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-45-49,gpt-3.5-turbo,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-31-09,gpt-3.5-turbo,"More than one sentence found: Located at 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-16-20,gpt-3.5-turbo,"More than one sentence found: Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-58-17,gpt-3.5-turbo,"More than one sentence found: Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-46-37,gpt-3.5-turbo,"More than one sentence found: Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-55-14,gpt-3.5-turbo,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-11-44,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-06-31-33,gpt-3.5-turbo,"More than one sentence found: Located at 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-05-36,gpt-3.5-turbo,"More than one sentence found: Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-15-26,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-06-36-06,gpt-3.5-turbo,"More than one sentence found: Located at 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-31-57,gpt-3.5-turbo,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-00-13,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-17-11,gpt-3.5-turbo,"More than one sentence found: Located at 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-05-21,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-13-22,gpt-3.5-turbo,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-32-43,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-06-38-22,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-06-01-25,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-12-33,gpt-3.5-turbo,"More than one sentence found: Located at 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-04-03,gpt-3.5-turbo,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-40-20,gpt-3.5-turbo,"More than one sentence found: 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-10-03,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-39-31,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-30-18,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-54-26,gpt-3.5-turbo,"More than one sentence found: Located at 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-23-09,gpt-3.5-turbo,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-56-47,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-21-00,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-06-30-44,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-06-27-45,gpt-3.5-turbo,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-19-18,gpt-3.5-turbo,"More than one sentence found: Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-12-17,gpt-3.5-turbo,"More than one sentence found: Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-36-36,gpt-3.5-turbo,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-25-45,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-42-41,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-06-33-05,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-23-33,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-04-51-11,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-06-18-34,gpt-3.5-turbo,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
